Year,Median_HH_Inc
1968,52783
1969,55398
1970,57061
1971,56270
1972,55815
1973,57926
1974,58575
1975,56003
1976,54588
1977,55539
1978,55891
1979,57813
1980,56685
1981,53783
1982,52441
1983,52055
1984,52133
1985,53759
1986,54891
1987,56671
1988,57231
1989,57415
1990,58412
1991,57274
1992,55269
1993,54479
1994,53884
1995,54421
1996,55998
1997,56268
1998,57789
1999,59812
2000,61110
2001,61213
2002,59720
2003,59137
2004,58915
2005,58602
2006,59150
2007,59807
2008,60522
2009,58320
2010,58053
2011,56527
2012,55815
2013,55055
2014,57703
2015,56884
2016,59042
2017,61587
2018,62298
2019,63030
